,sample,path,fna_file,fsa_file,gff_file,tbl_file,contig_base
0,0CC1K_S1B04,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B04,True,True,True,True,FDPCBAMH
0,0CC1K_S1B05,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B05,True,True,True,True,KBMJJKAH
0,0CC1K_S1B06,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B06,True,True,True,True,GBKOFLBK
0,0CC1K_S1B07,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B07,True,True,True,True,HJCAFPNM
0,0CC1K_S1B08,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B08,True,True,True,True,FKGGGBLD
0,0CC1K_S1B10,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B10,True,True,True,True,CMFFLMDN
0,0CC1K_S1B11,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B11,True,True,True,True,MKNMAPDD
0,0CC1K_S1B13,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B13,True,True,True,True,CLNMGNOI
0,0CC1K_S1B14,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B14,True,True,True,True,ABHGKOKG
0,0CC1K_S1B15,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B15,True,True,True,True,AFJAEHEL
0,0CC1K_S1B16,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B16,True,True,True,True,OIELMICC
0,0CC1K_S1B17,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B17,True,True,True,True,HDOCNNNG
0,0CC1K_S1B18,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B18,True,True,True,True,NLONALOI
0,0CC1K_S1B21,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B21,True,True,True,True,MJOJIKOD
0,0CC1K_S1B22,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B22,True,True,True,True,NEOKAKIC
0,0CC1K_S1B23,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B23,True,True,True,True,DDMNPGFA
0,0CC1K_S1B24,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1K_S1B24,True,True,True,True,DIMIEOJP
0,0CC1N_S1D74,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D74,True,True,True,True,PFPLOLPJ
0,0CC1N_S1D75,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D75,True,True,True,True,MHLOIMOE
0,0CC1N_S1D78,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D78,True,True,True,True,GEFFMOED
0,0CC1N_S1D80,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D80,True,True,True,True,PAGMCKCN
0,0CC1N_S1D82,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D82,True,True,True,True,GKHKCOIE
0,0CC1N_S1D83,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D83,True,True,True,True,ECBCEPDB
0,0CC1N_S1D84,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D84,True,True,True,True,NJCBMMHN
0,0CC1N_S1D85,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D85,True,True,True,True,HIOHCHLN
0,0CC1N_S1D86,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D86,True,True,True,True,NJOEPGAE
0,0CC1N_S1D89,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D89,True,True,True,True,IMKCLFHI
0,0CC1N_S1D91,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D91,True,True,True,True,LEBNFNCB
0,0CC1N_S1D92,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D92,True,True,True,True,BCKKNDMB
0,0CC1N_S1D93,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D93,True,True,True,True,HHKLHPOP
0,0CC1N_S1D96,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC1N_S1D96,True,True,True,True,MFBLOIMI
0,0CC2C_S1B74,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2C_S1B74,True,True,True,True,KGBHDBPA
0,0CC2C_S1B84,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2C_S1B84,True,True,True,True,HONBPKEL
0,0CC2C_S1B85,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2C_S1B85,True,True,True,True,ENPDBPLF
0,0CC2C_S1B87,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2C_S1B87,True,True,True,True,AEDMCAMB
0,0CC2C_S1B93,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2C_S1B93,True,True,True,True,IHHNEAPH
0,0CC2F_S1C01,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C01,True,True,True,True,AIGFFKGK
0,0CC2F_S1C02,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C02,True,True,True,True,NHIILBMK
0,0CC2F_S1C03,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C03,True,True,True,True,OFAOJOAK
0,0CC2F_S1C04,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C04,True,True,True,True,DDPJMODK
0,0CC2F_S1C05,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C05,True,True,True,True,HLGGCJCG
0,0CC2F_S1C06,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C06,True,True,True,True,ALEEGBOK
0,0CC2F_S1C07,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C07,True,True,True,True,IKPFOBKN
0,0CC2F_S1C10,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C10,True,True,True,True,FODNEKGF
0,0CC2F_S1C11,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C11,True,True,True,True,OGBKPLBM
0,0CC2F_S1C12,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C12,True,True,True,True,LGCLEEFK
0,0CC2F_S1C13,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C13,True,True,True,True,KODBGLNH
0,0CC2F_S1C14,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C14,True,True,True,True,LCFGOCKN
0,0CC2F_S1C15,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C15,True,True,True,True,CJANHIGA
0,0CC2F_S1C16,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C16,True,True,True,True,LBPADPJF
0,0CC2F_S1C17,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C17,True,True,True,True,DHOOFCNJ
0,0CC2F_S1C18,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C18,True,True,True,True,JADEOGDC
0,0CC2F_S1C19,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C19,True,True,True,True,EJNLKKOG
0,0CC2F_S1C22,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C22,True,True,True,True,NBHLLOKD
0,0CC2F_S1C23,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C23,True,True,True,True,MNMBBCPO
0,0CC2F_S1C24,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2F_S1C24,True,True,True,True,DNCNOEIH
0,0CC2K_S1A50,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A50,True,True,True,True,CJKKAJIL
0,0CC2K_S1A51,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A51,True,True,True,True,JJDMIANG
0,0CC2K_S1A52,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A52,True,True,True,True,MLLMAFOH
0,0CC2K_S1A53,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A53,True,True,True,True,JOFMNGAA
0,0CC2K_S1A55,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A55,True,True,True,True,NNOJOLNL
0,0CC2K_S1A56,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A56,True,True,True,True,DKCKADEJ
0,0CC2K_S1A57,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A57,True,True,True,True,DPMJFGNC
0,0CC2K_S1A58,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A58,True,True,True,True,NHNNNNFD
0,0CC2K_S1A59,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A59,True,True,True,True,KJHCBDHF
0,0CC2K_S1A60,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A60,True,True,True,True,CBBGKIMB
0,0CC2K_S1A61,/home/atripp/mit_lieberman/projects/adt_general/ACERA_PROJECT/DATA/ASSEMBLIES/ISOLATE/4-annotation/Isolate_annotation_filtered/0CC2K_S1A61,True,True,True,True,BJNKINGD
