,gene,gains,losses,count,dist,subsize
3935,ycjP,1,0,1.0,0.343421,0.00266
3936,group_2451,0,0,0.0,inf,0.0
3937,group_2498,1,0,1.0,0.250205,0.000731
3938,group_2870,0,0,0.0,inf,0.0
3939,group_3308,1,0,1.0,0.346139,0.005378
3940,group_424,2,0,2.0,0.053495,0.0017720000000000001
3941,group_466,1,0,1.0,0.05178,0.001728
3942,group_5904,3,0,3.0,0.05178,0.004706
3943,group_7849,3,0,3.0,0.053032,0.0032110000000000003
3944,group_858,0,0,0.0,inf,0.0
3945,group_8876,1,0,1.0,0.343421,0.00266
3946,group_1082,1,0,1.0,0.316102,0.000675
3947,group_1181,0,0,0.0,inf,0.0
3948,group_1283,1,0,1.0,0.341218,0.001432
3949,group_1831,0,0,0.0,inf,0.0
3950,group_2285,1,0,1.0,0.338478,0.00204
3951,group_2414,1,0,1.0,0.05178,0.001728
3952,group_2488,1,0,1.0,0.343421,0.00266
3953,group_2818,2,0,2.0,0.33328199999999997,0.002471
3954,group_3434,1,0,1.0,0.31611999999999996,0.000431
3955,group_448,0,0,0.0,inf,0.0
3956,group_4814,1,0,1.0,0.053049,0.000441
3957,group_4826,0,0,0.0,inf,0.0
3958,group_4915,1,0,1.0,0.338611,0.00196
3959,group_5107,1,0,1.0,0.343421,0.00266
3960,group_5779,3,0,3.0,0.053032,0.0026439999999999996
3961,group_8435,1,0,1.0,0.065317,0.027316
3962,group_8877,1,0,1.0,0.343421,0.00266
3963,group_888,2,0,2.0,0.31640199999999996,0.002978
3964,group_1557,2,0,2.0,0.065317,0.028029
3965,group_1667,0,0,0.0,inf,0.0
3966,group_1767,0,0,0.0,inf,0.0
3967,group_1970,1,0,1.0,0.250205,0.000731
3968,group_233,1,0,1.0,0.31640199999999996,0.000713
3969,group_2721,2,0,2.0,0.05178,0.003993
3970,bdbD,2,0,2.0,0.053032,0.0012109999999999998
3971,group_2795,1,0,1.0,0.343421,0.00266
3972,group_2830,1,0,1.0,0.37312500000000004,0.005275
3973,group_3156,1,0,1.0,0.053049,0.000441
3974,group_3807,2,0,2.0,0.053032,0.00219
3975,group_4363,1,0,1.0,0.053032,0.000498
3976,group_5603,2,0,2.0,0.337495,0.0031090000000000002
3977,group_6075,1,0,1.0,0.343421,0.00266
3978,qacC,2,0,3.0,0.252307,0.010869
3979,group_6133,1,0,1.0,0.343421,0.00266
3980,group_614,1,0,1.0,0.31640199999999996,0.000713
3981,group_623,1,0,1.0,0.31640199999999996,0.000713
3982,group_6925,1,0,1.0,0.033531,0.00526
3983,group_731,0,0,0.0,inf,0.0
3984,group_7538,1,1,3.0,0.338945,0.011961
3985,group_866,2,0,2.0,0.31640199999999996,0.0014550000000000001
3986,group_8872,1,0,1.0,0.343421,0.00266
3987,group_8874,1,0,1.0,0.343421,0.00266
3988,group_952,1,0,1.0,0.338228,0.001692
3989,group_1376,1,1,3.0,0.36785,0.0449
3990,group_1405,2,0,2.0,0.033531,0.010535
3991,group_2010,1,0,1.0,0.370139,0.001126
3992,group_2124,1,0,1.0,0.33793399999999996,0.001534
3993,group_2126,1,0,1.0,0.338704,0.002265
3994,group_2453,0,0,0.0,inf,0.0
3995,group_255,1,0,1.0,0.31640199999999996,0.000713
3996,group_2787,0,0,0.0,inf,0.0
3997,group_2825,1,0,1.0,0.316068,0.000863
3998,group_3241,2,0,2.0,0.316196,0.001948
3999,group_3680,1,0,1.0,0.053049,0.000441
4000,group_5016,1,0,1.0,0.053032,0.000498
4001,group_581,1,0,1.0,0.053032,0.000498
4002,group_5827,0,0,0.0,inf,0.0
4003,group_5830,1,0,1.0,0.053032,0.000498
4004,group_6074,1,0,1.0,0.343421,0.00266
4005,group_7268,0,0,0.0,inf,0.0
4006,group_7301,0,0,0.0,inf,0.0
4007,group_8171,1,0,1.0,0.251862,0.001521
4008,group_8493,1,0,1.0,0.250205,0.000731
4009,group_9270,1,0,1.0,0.33833,0.001076
4010,group_1084,1,0,1.0,0.343421,0.00266
4011,group_1117,0,0,0.0,inf,0.0
4012,group_1274,2,0,2.0,0.053032,0.00219
4013,group_20,1,0,1.0,0.030719999999999997,0.002449
4014,group_2265,2,0,2.0,0.251862,0.0025599999999999998
4015,disA_1,0,0,0.0,inf,0.0
4016,group_2399,1,0,1.0,0.053032,0.000498
4017,group_2427,2,0,2.0,0.316068,0.002903
4018,group_3815,1,2,3.0,0.338945,0.014882
4019,group_4328,1,0,1.0,0.333422,0.001179
4020,group_4389,1,0,1.0,0.343421,0.00266
4021,group_516,1,0,1.0,0.338611,0.00196
4022,group_5752,1,0,1.0,0.336896,0.001035
4023,group_663,1,0,1.0,0.316068,0.000863
4024,group_719,1,0,1.0,0.343421,0.00266
4025,group_7544,0,0,0.0,inf,0.0
4026,group_7546,0,0,0.0,inf,0.0
4027,group_7549,0,0,0.0,inf,0.0
4028,group_7550,0,0,0.0,inf,0.0
4029,group_7551,0,0,0.0,inf,0.0
4030,mntB,0,0,0.0,inf,0.0
4031,group_7554,0,0,0.0,inf,0.0
4032,group_7555,0,0,0.0,inf,0.0
4033,group_7556,0,0,0.0,inf,0.0
4034,group_1187,0,0,0.0,inf,0.0
4035,group_1650,0,0,0.0,inf,0.0
4036,group_1674,0,0,0.0,inf,0.0
4037,group_2326,0,0,0.0,inf,0.0
4038,group_3173,1,0,1.0,0.33328199999999997,0.001039
4039,group_4909,1,0,1.0,0.252307,0.001015
4040,group_582,2,0,2.0,0.31611999999999996,0.0012000000000000001
4041,group_5823,1,0,1.0,0.31640199999999996,0.000713
4042,group_689,1,0,1.0,0.053032,0.000498
4043,group_7553,0,0,0.0,inf,0.0
4044,group_7659,0,0,0.0,inf,0.0
4045,group_8221,1,0,1.0,0.341341,0.001555
4046,group_8222,1,0,1.0,0.341341,0.001555
4047,group_8223,1,0,1.0,0.316312,0.001107
4048,group_1105,1,0,1.0,0.053495,0.001059
4049,group_1170,1,0,1.0,0.316068,0.000863
4050,group_13789,1,0,1.0,0.37004099999999995,0.001028
4051,group_1632,2,0,2.0,0.033531,0.006123
4052,group_1703,1,0,1.0,0.251862,0.001521
4053,group_1930,3,0,3.0,0.252095,0.002569
4054,group_1983,1,0,1.0,0.346139,0.005378
4055,group_2058,0,0,0.0,inf,0.0
4056,group_269,2,0,2.0,0.053032,0.0012109999999999998
4057,group_2720,1,0,1.0,0.05178,0.001728
4058,group_286,1,0,1.0,0.338704,0.002265
4059,group_3195,0,0,0.0,inf,0.0
4060,group_3881,1,0,1.0,0.25244099999999997,0.001016
4061,group_419,1,0,1.0,0.338228,0.001692
4062,group_4390,3,0,3.0,0.316068,0.0024200000000000003
4063,xerC_2,1,0,1.0,0.341341,0.001555
4064,group_8230,1,0,1.0,0.251862,0.001521
4065,group_943,0,0,0.0,inf,0.0
4066,group_1088,0,0,0.0,inf,0.0
4067,group_1279,2,0,2.0,0.338228,0.003652
4068,group_1382,1,0,1.0,0.341218,0.001432
4069,group_167,1,0,1.0,0.33328199999999997,0.001039
4070,group_2096,1,0,1.0,0.31640199999999996,0.000713
4071,group_2310,1,0,1.0,0.333422,0.001179
4072,group_2408,0,0,0.0,inf,0.0
4073,group_2429,1,0,1.0,0.31640199999999996,0.000713
4074,group_2681,0,0,0.0,inf,0.0
4075,group_376,1,0,1.0,0.316312,0.001107
4076,group_3812,1,0,1.0,0.34001,0.000856
4077,group_4345,1,0,2.0,0.339786,0.003619
4078,group_4354,1,0,1.0,0.252095,0.000593
4079,group_4943,1,0,1.0,0.316102,0.000675
4080,group_4990,2,0,2.0,0.338228,0.003652
4081,group_5060,3,0,3.0,0.316068,0.0024200000000000003
4082,group_5061,3,0,3.0,0.316068,0.0024200000000000003
4083,group_5063,2,0,2.0,0.316068,0.0015760000000000001
4084,group_5931,3,0,3.0,0.316068,0.0024200000000000003
4085,group_7600,1,0,1.0,0.31640199999999996,0.000713
4086,group_77,1,0,1.0,0.33328199999999997,0.001039
4087,lolD_2,1,0,1.0,0.05178,0.001728
4088,group_7936,3,0,3.0,0.316068,0.0024200000000000003
4089,group_7938,3,0,3.0,0.316068,0.0024200000000000003
4090,group_8386,0,0,0.0,inf,0.0
4091,group_931,0,0,0.0,inf,0.0
4092,group_1126,1,0,1.0,0.333422,0.001179
4093,group_1639,1,0,1.0,0.343421,0.00266
4094,group_1658,1,0,1.0,0.316102,0.000675
4095,group_1739,1,0,1.0,0.37312500000000004,0.005275
4096,group_1816,1,0,1.0,0.343421,0.00266
4097,group_1931,2,0,2.0,0.31640199999999996,0.001752
4098,group_2100,2,0,2.0,0.053032,0.001361
4099,group_24,1,0,1.0,0.25244099999999997,0.001016
4100,group_2441,0,0,0.0,inf,0.0
