SampleName,Sample_No,Dataset,Lineage,Subphylogroup,Phylogroup,PDEs,median_GR,median_K,inhibition_score,Bioreps
0CC2N_S1D64,51,Baker2023,acera107,K.1.2,K,PDEs,0.0934256105,0.9218414685,0.171036543128431,FALSE
1AA4F_Z03_25_23YCC_E125,106,Baker2023,acera77,A.1,A,noPDEs,0.1130129425,1.147866431,0.670732031241949,FALSE
1PB2C_S1A83,11,Baker2023,acera38,K.1.2,K,PDEs,0.102252956,0.7379979165,0.797089102866554,FALSE
1PB2C_S1A85,5,Baker2023,acera38,K.1.2,K,PDEs,0.1103088745,0.7133310045,0.790855345582452,FALSE
1PB2C_S1A87,10,Baker2023,acera38,K.1.2,K,PDEs,0.1191485045,0.6906315255,0.790731379445233,FALSE
1PB2F_S1B57,150,Baker2023,acera8,D.1,D,PDEs,0.1159492055,0.6705895745,0.150091693317986,FALSE
1PB2F_S1B59,78,Baker2023,acera39,A.3,A,noPDEs,0.100612982,1.145299223,0.77748929626629,FALSE
1PB2N_S1C73,12,Baker2023,acera39,A.3,A,noPDEs,0.118723697,0.682586275,0.71191975866122,FALSE
1PB2N_S1C74,80,Baker2023,acera39,A.3,A,noPDEs,0.0845343395,1.16356615,0.753303348308875,FALSE
1PB2N_S1C79,97,Baker2023,acera40,C.1,C,noPDEs,0.0922308755,1.0443992905,0.762229194802022,FALSE
1PB2N_S1C83,3,Baker2023,acera39,A.3,A,noPDEs,0.104116977,0.677461512,0.669232656823079,FALSE
1PB2N_S1C92,21,Baker2023,acera40,C.1,C,noPDEs,0.12537384,0.824925011,0.599191744620254,FALSE
1PB2N_S1C94,70,Baker2023,acera39,A.3,A,noPDEs,0.1265402045,0.51929766,0.565789862757752,FALSE
1PB2N_S1C95,56,Baker2023,acera40,C.1,C,noPDEs,0.104972331,1.0445993565,0.737779497181545,FALSE
1PB2N_S1C96,8,Baker2023,acera40,C.1,C,noPDEs,0.105025349,0.8767304585,0.0543975895596075,TRUE
1PB2N_S1C96,162,Baker2023,acera40,C.1,C,noPDEs,0.0959725135,1.1345546275,0.0157003017660382,TRUE
2AA3N_9YD25,32,Baker2023,acera91,D.1,D,PDEs,0.128449328,0.6569559205,0.216842113173896,FALSE
2AA3N_9YD27,50,Baker2023,acera91,D.1,D,PDEs,0.121486072,0.7377282245,0.324288612317112,FALSE
2AA3N_9YD37,62,Baker2023,acera91,D.1,D,PDEs,0.130303296,0.6717262225,0.32207990561589,FALSE
2PB1C_S1D03,164,Baker2023,acera29,E.1,E,noPDEs,0.0913030825,0.3424638225,NA,FALSE
2PB1C_S1D14,9,Baker2023,acera29,E.1,E,noPDEs,0.1308264115,0.4751640585,0.688749586864567,FALSE
2PB1F_S1A21,35,Baker2023,acera31,K.1.1,K,PDEs,0.1066289845,1.050054349,0.231480033879894,FALSE
2PB1F_S1A22,34,Baker2023,acera31,K.1.1,K,PDEs,0.132333667,0.9702658785,0.396217956962961,FALSE
2PB1F_S1A23,26,Baker2023,acera31,K.1.1,K,PDEs,0.115215802,0.977565272,0.469587509677389,FALSE
2PB1K_S1C53,48,Baker2023,acera32,H.1,H,PDEs,0.0750120305,1.157166227,0.122335131313671,FALSE
2PB1K_S1C54,49,Baker2023,acera32,H.1,H,PDEs,0.067407937,0.944999217,0.0270747008265372,FALSE
2PB1K_S1C56,128,Baker2023,acera31,K.1.1,K,PDEs,0.1076604025,1.0583663995,0.017823061710632,FALSE
2PB1K_S1C61,7,Baker2023,acera89,H.3,H,PDEs,0.101644566,1.01499915,0.169205857368637,FALSE
2PB1K_S1C67,54,Baker2023,acera28,H.3,H,PDEs,0.0968665325,1.044266305,0.0396307433970411,FALSE
2PB1K_S1C69,133,Baker2023,acera32,H.1,H,PDEs,0.080267056,1.2556588135,0.10516614626148,FALSE
2PB1N_S1B35,45,Baker2023,acera28,H.3,H,PDEs,0.0921094305,1.046465742,0.101420069341032,FALSE
2PB1N_S1B36,67,Baker2023,acera29,E.1,E,noPDEs,0.1624839695,0.2690291065,0.607751762169112,FALSE
2PB1N_S1B37,19,Baker2023,acera89,H.3,H,PDEs,0.0932848495,1.0090660825,0.0131430310300202,FALSE
2PB1N_S1B42,39,Baker2023,acera28,H.3,H,PDEs,0.1305392355,1.0334993245,0.0986526169884837,FALSE
2PB1N_S1B45,64,Baker2023,acera89,H.3,H,PDEs,0.1052365495,1.01409916,0.0942527607353081,TRUE
2PB1N_S1B45,126,Baker2023,acera89,H.3,H,PDEs,0.0874502605,1.0809992325,0.00661719556767959,TRUE
2PB1N_S1B48,20,Baker2023,acera29,E.1,E,noPDEs,0.1049205995,0.2933311425,0.628771586757224,FALSE
3PA2F_X0850,177,Baker2023,acera10,H.2,H,PDEs,0.0638450725,1.250999547,0.00456585328197265,FALSE
3PA2N_X0973,73,Baker2023,acera17,A.2,A,noPDEs,0.130766279,0.6357305465,0.737755098196244,FALSE
3PA2N_X0992,24,Baker2023,acera17,A.2,A,noPDEs,0.136434787,0.5207636315,0.659729424224071,FALSE
3PA2N_X0996,18,Baker2023,acera17,A.2,A,noPDEs,0.136263082,0.64446353,0.680869160124421,TRUE
3PA2N_X0996,122,Baker2023,acera17,A.2,A,noPDEs,0.098668104,0.227931436,0.560993883137924,TRUE
4AA1F_X1466,145,Baker2023,acera24,B.1,B,noPDEs,0.084573132,0.6389394,0.740916606366753,FALSE
4AA1F_X1482,151,Baker2023,acera24,B.1,B,noPDEs,0.118483478,0.1817640555,NA,FALSE
4AA1F_X1484,140,Baker2023,acera24,B.1,B,noPDEs,0.1034483645,0.1773977485,NA,FALSE
5PA1K_X1228,123,Baker2023,acera53,A.3,A,noPDEs,0.0788004105,1.187198507,0.677220894450174,FALSE
5PA1N_X1166,168,Baker2023,acera118,K.1.2,K,PDEs,0.0914049275,0.9676664235,0.335862213180143,FALSE
5PB3C_24YB91,132,Baker2023,acera53,A.3,A,noPDEs,0.1083185015,1.278466396,0.780846620477686,FALSE
5PB3F_24YB21,124,Baker2023,acera64,H.1,H,PDEs,0.0785768525,0.9990981925,0.136162775261681,FALSE
5PB3K_24YB62,60,Baker2023,acera64,H.1,H,PDEs,0.0740554725,0.897132168,0.0540293798091336,FALSE
5PB3K_24YB63,136,Baker2023,acera64,H.1,H,PDEs,0.0858906445,1.0976661705,0.0277199939070785,FALSE
7AB1F_X1249,175,Baker2023,acera1,H.2,H,PDEs,0.104114385,1.202899575,0.398340343221204,FALSE
7PB4C_16YC74,31,Baker2023,acera86,A.3,A,noPDEs,0.1343320925,0.2751972035,0.634176727773898,FALSE
7PB4C_16YC85,105,Baker2023,acera86,A.3,A,noPDEs,0.0421224985,0.5532167775,NA,FALSE
7PB4K_16YC59,121,Baker2023,acera2,H.2,H,PDEs,0.082936892,0.988766333,0.208628184079165,FALSE
7PB4K_16YC71,83,Baker2023,acera85,D.1,D,PDEs,0.1525311295,0.751984864,0.228657937039874,FALSE
7PB4K_16YC72,46,Baker2023,acera85,D.1,D,PDEs,0.2002810295,0.809799015,0.169996643182338,FALSE
8AB1F_25YH20,41,Baker2023,acera72,F.3,F,noPDEs,0.1129284695,1.182398434,0.839703648692921,TRUE
8AB1F_25YH20,76,Baker2023,acera72,F.3,F,noPDEs,0.1304513005,1.125731682,0.837287430253277,TRUE
8AB1F_25YH6,69,Baker2023,acera72,F.3,F,noPDEs,0.1129309355,1.1655324285,0.808275443347344,FALSE
8AB1N_25YH25,2,Baker2023,acera70,K.1.2,K,PDEs,0.121159598,0.784532499,0.802309361855854,FALSE
8AB1N_25YH26,55,Baker2023,acera70,K.1.2,K,PDEs,0.14026858,0.800632356,0.796380913230299,FALSE
