Unique_No,Unique_ID,Sample_No,Sample_Well,Sample_Plate,Bio_Replicate,Tech_Replicate,Phage,Growth Rate,Time to Max Growth,Saturation OD,Rsq,AUC
187,Plate 2 Well H8,92,H8,A,1,2,0,0.096958771,4.666944444,0.707058429,0.994226295,68.4098
188,Plate 2 Well H9,93,H9,A,1,2,0,0.102799598,9.333611111,0.985063859,0.999637435,125.5716333
189,Plate 2 Well H10,94,H10,A,1,2,0,0.106288619,4.666944444,0.850399467,0.993604589,75.50226667
190,Plate 2 Well H11,95,H11,A,1,2,0,0.089594946,18.00027778,0.912919448,0.999836859,125.0329
191,Plate 2 Well H12,96,H12,A,1,2,0,0.119832687,4.666944444,0.689060326,0.999637357,119.4613667
192,Plate 3 Well A1,1,A1,A,1,1,1,0,0,0.061751746,0,20.85176667
193,Plate 3 Well A2,2,A2,A,1,1,1,0.199273597,112.6691667,0.42151513,0.99523605,23.45473333
194,Plate 3 Well A3,3,A3,A,1,1,1,0,0,0.041069844,0,21.27546667
195,Plate 3 Well A4,4,A4,A,1,1,1,0.113693216,5.000277778,0.752797147,0.99959393,95.76096667
196,Plate 3 Well A5,5,A5,A,1,1,1,0,0,0.053937922,0,21.8302
197,Plate 3 Well A6,6,A6,A,1,1,1,-0.016755777,104.0022222,0.09133544,-0.994235753,24.09946667
198,Plate 3 Well A7,7,A7,A,1,1,1,0.102241804,4.666944444,0.999933036,0.998767139,142.2715
199,Plate 3 Well A8,8,A8,A,1,1,1,0.103168207,9.333611111,0.969198265,0.999909035,126.4579333
200,Plate 3 Well A9,9,A9,A,1,1,1,0,0,0.03774644,0,20.2422
201,Plate 3 Well A10,10,A10,A,1,1,1,0,0,0.142107421,0,25.50016667
202,Plate 3 Well A11,11,A11,A,1,1,1,0.132093865,110.0025,0.420096327,0.998141356,24.79296667
203,Plate 3 Well A12,12,A12,A,1,1,1,0,0,0.026295793,0,20.04556667
204,Plate 3 Well B1,13,B1,A,1,1,1,0.107333456,11.66694444,0.67306553,0.999557961,47.13903333
205,Plate 3 Well B2,14,B2,A,1,1,1,0,0,0.034466212,0,21.26973333
206,Plate 3 Well B3,15,B3,A,1,1,1,0,0,0.149023033,0,25.47333333
207,Plate 3 Well B4,16,B4,A,1,1,1,0,0,0.07241188,0,23.4834
208,Plate 3 Well B5,17,B5,A,1,1,1,0.109896417,5.000277778,0.840132789,0.999893869,127.4435667
209,Plate 3 Well B6,18,B6,A,1,1,1,0,0,0.035743424,0,19.82413333
210,Plate 3 Well B7,19,B7,A,1,1,1,0.101978949,5.333611111,0.940066208,0.997502279,114.3753333
211,Plate 3 Well B8,20,B8,A,1,1,1,0,0,0.034880757,0,20.24436667
212,Plate 3 Well B9,21,B9,A,1,1,1,0,0,0.039696249,0,20.05993333
213,Plate 3 Well B10,22,B10,A,1,1,1,0.090050403,7.666944444,0.288059143,0.994981662,61.81426667
214,Plate 3 Well B11,23,B11,A,1,1,1,0.068363459,10.33361111,0.869066401,0.999988461,104.1364
215,Plate 3 Well B12,24,B12,A,1,1,1,0,0,0.038492684,0,19.86703333
216,Plate 3 Well C1,25,C1,A,1,1,1,0,0,0.029185842,0,20.30916667
217,Plate 3 Well C2,26,C2,A,1,1,1,0.121876616,4.666944444,0.228459366,0.997420394,55.8448
218,Plate 3 Well C3,27,C3,A,1,1,1,0.053868106,9.666944444,0.754599311,0.999814899,73.02643333
219,Plate 3 Well C4,28,C4,A,1,1,1,0.094713201,21.00027778,0.610157041,0.999633413,49.79236667
220,Plate 3 Well C5,29,C5,A,1,1,1,0.085520341,20.33361111,0.624861557,0.996941519,71.69956667
221,Plate 3 Well C6,30,C6,A,1,1,1,0.080749905,55.33444444,0.994456584,0.999963225,35.02986667
222,Plate 3 Well C7,31,C7,A,1,1,1,0,0,0.039550387,0,20.05596667
223,Plate 3 Well C8,32,C8,A,1,1,1,0.125583561,27.00083333,0.651056577,0.999819318,75.91873333
224,Plate 3 Well C9,33,C9,A,1,1,1,0,0,0.034623204,0,19.69443333
225,Plate 3 Well C10,34,C10,A,1,1,1,0.111956419,4.666944444,0.567979898,0.998371488,99.44993333
226,Plate 3 Well C11,35,C11,A,1,1,1,0.10661765,4.666944444,0.789930849,0.999577862,125.7429667
227,Plate 3 Well C12,36,C12,A,1,1,1,0.090144193,36.33444444,0.91892718,0.99977385,45.37356667
228,Plate 3 Well D1,37,D1,A,1,1,1,0.105430993,19.33361111,0.674585084,0.999141847,85.28516667
229,Plate 3 Well D2,38,D2,A,1,1,1,0.10220156,8.000277778,0.78899924,0.99850763,119.9058667
230,Plate 3 Well D3,39,D3,A,1,1,1,0.082340738,11.33361111,1.015466347,0.99519903,142.4222
231,Plate 3 Well D4,40,D4,A,1,1,1,0,0,0.026267292,0,21.2635
232,Plate 3 Well D5,41,D5,A,1,1,1,0,0,0.069089937,0,21.80123333
233,Plate 3 Well D6,42,D6,A,1,1,1,0,0,0.043506315,0,22.44056667
234,Plate 3 Well D7,43,D7,A,1,1,1,0.056400838,15.00027778,0.250764952,0.992334474,42.53533333
235,Plate 3 Well D8,44,D8,A,1,1,1,0,0,0.091478321,0,23.9559
236,Plate 3 Well D9,45,D9,A,1,1,1,0.08007129,4.666944444,0.892731655,0.999221308,128.6003667
237,Plate 3 Well D10,46,D10,A,1,1,1,0.091274139,30.33444444,0.611444299,0.999984076,82.7163
238,Plate 3 Well D11,47,D11,A,1,1,1,0.063184772,16.66694444,0.8383993,0.999835802,90.75416667
239,Plate 3 Well D12,48,D12,A,1,1,1,0.069871848,4.666944444,0.413358451,0.997874818,68.44086667
240,Plate 3 Well E1,49,E1,A,1,1,1,0.087106323,4.666944444,0.974599466,0.994994764,79.56706667
241,Plate 3 Well E2,50,E2,A,1,1,1,0.095521702,31.33444444,0.582824902,0.999398575,49.10253333
242,Plate 3 Well E3,51,E3,A,1,1,1,0.080031986,5.000277778,0.664093056,0.999515607,92.3069
243,Plate 3 Well E4,52,E4,A,1,1,1,0.055297674,16.33361111,0.358528523,0.991184709,57.9466
244,Plate 3 Well E5,53,E5,A,1,1,1,0.056834195,12.00027778,0.162975925,0.999438405,36.53793333
245,Plate 3 Well E6,54,E6,A,1,1,1,0.084379205,9.000277778,1.052666181,0.999952443,145.8194333
246,Plate 3 Well E7,55,E7,A,1,1,1,0.075636041,133.6702778,0.100967027,0.996071439,23.13196667
247,Plate 3 Well E8,56,E8,A,1,1,1,0,0,0.029585445,0,20.16396667
248,Plate 3 Well E9,57,E9,A,1,1,1,0.078648139,7.333611111,0.390047419,0.999873568,47.96586667
249,Plate 3 Well E10,58,E10,A,1,1,1,0,0,0.038009992,0,19.94523333
250,Plate 3 Well E11,59,E11,A,1,1,1,0,0,0.048699669,0,22.00843333
251,Plate 3 Well E12,60,E12,A,1,1,1,0.076428076,4.666944444,0.819264023,0.998787267,117.9766
252,Plate 3 Well F1,61,F1,A,1,1,1,0.07812814,64.00111111,0.383264026,0.993164004,23.74966667
253,Plate 3 Well F2,62,F2,A,1,1,1,0.092930252,16.00027778,0.430127414,0.99953356,50.56556667
254,Plate 3 Well F3,63,F3,A,1,1,1,-0.189201693,11.00027778,0.070773165,-0.990604523,21.94873333
255,Plate 3 Well F4,64,F4,A,1,1,1,0.100871643,6.000277778,0.935865465,0.999695264,124.9834667
256,Plate 3 Well F5,65,F5,A,1,1,1,0.098926925,10.66694444,0.775266283,0.99580498,83.2531
