TreeTipLabel,Dataset,Lineage,Subphylogroup,Phylogroup,NewTreeTipLabel,SampleName
2PA3F_Z05_14_16YB_C214,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_14_16YB_C214
2PA3F_Z05_15_16YB_C315,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_15_16YB_C315
2PA3F_Z05_16_16YB_C416,Baker2023,acera128,K.1.2,K,Family 2 - Adult 1 - Lineage 128 - TP3,2PA3F_Z05_16_16YB_C416
2PA3F_Z05_17_16YB_C517,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_17_16YB_C517
2PA3F_Z05_18_16YB_C618,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_18_16YB_C618
2PA3F_Z05_19_16YB_C719,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_19_16YB_C719
2PA3F_Z05_2_16YB_A32,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_2_16YB_A32
2PA3F_Z05_3_16YB_A43,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_3_16YB_A43
2PA3F_Z05_4_16YB_A64,Baker2023,acera81,K.1.2,K,Family 2 - Adult 1 - Lineage 81 - TP3,2PA3F_Z05_4_16YB_A64
2PA3F_Z05_5_16YB_A75,Baker2023,acera128,K.1.2,K,Family 2 - Adult 1 - Lineage 128 - TP3,2PA3F_Z05_5_16YB_A75
2PA3F_Z05_6_16YB_B16,Baker2023,acera128,K.1.2,K,Family 2 - Adult 1 - Lineage 128 - TP3,2PA3F_Z05_6_16YB_B16
2PA3F_Z05_8_16YB_B38,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_8_16YB_B38
2PA3F_Z05_9_16YB_B49,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3F_Z05_9_16YB_B49
2PA3N_Z01_44_23YDC_D844,Baker2023,acera49,D.1,D,Family 2 - Adult 1 - Lineage 49 - TP3,2PA3N_Z01_44_23YDC_D844
2PA3N_Z05_22_16YB_C1022,Baker2023,acera49,D.1,D,Family 2 - Adult 1 - Lineage 49 - TP3,2PA3N_Z05_22_16YB_C1022
2PA3N_Z05_26_16YB_D226,Baker2023,acera82,K.1.2,K,Family 2 - Adult 1 - Lineage 82 - TP3,2PA3N_Z05_26_16YB_D226
2PA3N_Z05_27_16YB_D327,Baker2023,acera49,D.1,D,Family 2 - Adult 1 - Lineage 49 - TP3,2PA3N_Z05_27_16YB_D327
2PA3N_Z05_30_16YB_D630,Baker2023,acera5,K.1.2,K,Family 2 - Adult 1 - Lineage 5 - TP3,2PA3N_Z05_30_16YB_D630
