TreeTipLabel,Dataset,Lineage,Subphylogroup,Phylogroup,NewTreeTipLabel,SampleName
S8AB4N_25YA26,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA26
S8AB4N_25YA27,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA27
S8AB4N_25YA28,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA28
S8AB4N_25YA29,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA29
S8AB4N_25YA30,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA30
S8AB4N_25YA33,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA33
S8AB4N_25YA34,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA34
S8AB4N_25YA35,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA35
S8AB4N_25YA36,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA36
S8AB4N_25YA38,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA38
S8AB4N_25YA39,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA39
S8AB4N_25YA40,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA40
S8AB4N_25YA42,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA42
S8AB4N_25YA43,Baker2023,acera70,K.1.2,K,Family 8 - Child 2 - Lineage 70 - TP4,8AB4N_25YA43
S8AC1_S-84,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP1,8AC1_S-84
S8AC1C_25YC6,Baker2023,acera71,F.3,F,Family 8 - Child 3 - Lineage 71 - TP1,8AC1C_25YC6
S8AC1C_25YC7,Baker2023,acera69,H.2,H,Family 8 - Child 3 - Lineage 69 - TP1,8AC1C_25YC7
S8AC1C_X0407,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP1,8AC1C_X0407
S8AC1C_X0425,Baker2023,acera69,H.2,H,Family 8 - Child 3 - Lineage 69 - TP1,8AC1C_X0425
S8AC1C_X0436,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP1,8AC1C_X0436
S8AC4C_23YAC73,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_23YAC73
S8AC4C_23YAC74,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_23YAC74
S8AC4C_23YAC76,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_23YAC76
S8AC4C_23YAC79,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_23YAC79
S8AC4C_23YAC80,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_23YAC80
S8AC4C_23YAC81,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_23YAC81
S8AC4C_23YAC82,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_23YAC82
S8AC4C_23YAC83,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_23YAC83
S8AC4C_9YC66,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC66
S8AC4C_9YC67,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC67
S8AC4C_9YC68,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC68
S8AC4C_9YC69,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC69
S8AC4C_9YC72,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC72
S8AC4C_9YC73,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC73
S8AC4C_9YC77,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC77
S8AC4C_9YC79,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC79
S8AC4C_9YC84,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC84
S8AC4C_9YC85,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC85
S8AC4C_9YC86,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC86
S8AC4C_9YC88,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC88
S8AC4C_9YC89,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC89
S8AC4C_9YC92,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC92
S8AC4C_9YC93,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC93
S8AC4C_9YC94,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC94
S8AC4C_9YC95,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC95
S8AC4C_9YC96,Baker2023,acera67,K.1.2,K,Family 8 - Child 3 - Lineage 67 - TP4,8AC4C_9YC96
S8AC4F_9YC4,Baker2023,acera72,F.3,F,Family 8 - Child 3 - Lineage 72 - TP4,8AC4F_9YC4
S8AC4N_23YBC61,Baker2023,acera92,K.2,K,Family 8 - Child 3 - Lineage 92 - TP4,8AC4N_23YBC61
S8AC4N_9YC12,Baker2023,acera92,K.2,K,Family 8 - Child 3 - Lineage 92 - TP4,8AC4N_9YC12
S8AC4N_9YC23,Baker2023,acera92,K.2,K,Family 8 - Child 3 - Lineage 92 - TP4,8AC4N_9YC23
S8PA3C_25YE73,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3C_25YE73
S8PA3C_25YE74,Baker2023,acera67,K.1.2,K,Family 8 - Adult 1 - Lineage 67 - TP3,8PA3C_25YE74
S8PA3C_25YE76,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3C_25YE76
S8PA3C_25YE77,Baker2023,acera67,K.1.2,K,Family 8 - Adult 1 - Lineage 67 - TP3,8PA3C_25YE77
S8PA3C_25YE78,Baker2023,acera125,K.1.2,K,Family 8 - Adult 1 - Lineage 125 - TP3,8PA3C_25YE78
S8PA3C_25YE79,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3C_25YE79
S8PA3C_25YE83,Baker2023,acera67,K.1.2,K,Family 8 - Adult 1 - Lineage 67 - TP3,8PA3C_25YE83
S8PA3C_25YE85,Baker2023,acera67,K.1.2,K,Family 8 - Adult 1 - Lineage 67 - TP3,8PA3C_25YE85
S8PA3C_25YE86,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3C_25YE86
S8PA3C_25YE87,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3C_25YE87
S8PA3C_25YE88,Baker2023,acera71,F.3,F,Family 8 - Adult 1 - Lineage 71 - TP3,8PA3C_25YE88
S8PA3C_25YE89,Baker2023,acera72,F.3,F,Family 8 - Adult 1 - Lineage 72 - TP3,8PA3C_25YE89
S8PA3C_25YE90,Baker2023,acera71,F.3,F,Family 8 - Adult 1 - Lineage 71 - TP3,8PA3C_25YE90
S8PA3C_25YE91,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3C_25YE91
S8PA3C_25YE92,Baker2023,acera72,F.3,F,Family 8 - Adult 1 - Lineage 72 - TP3,8PA3C_25YE92
S8PA3C_25YE93,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3C_25YE93
S8PA3C_25YE94,Baker2023,acera71,F.3,F,Family 8 - Adult 1 - Lineage 71 - TP3,8PA3C_25YE94
S8PA3C_25YE95,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3C_25YE95
S8PA3C_25YE96,Baker2023,acera67,K.1.2,K,Family 8 - Adult 1 - Lineage 67 - TP3,8PA3C_25YE96
S8PA3F_25YE1,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3F_25YE1
S8PA3F_25YE10,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3F_25YE10
S8PA3F_25YE11,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3F_25YE11
S8PA3F_25YE12,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3F_25YE12
S8PA3F_25YE13,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3F_25YE13
S8PA3F_25YE14,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3F_25YE14
S8PA3F_25YE15,Baker2023,acera70,K.1.2,K,Family 8 - Adult 1 - Lineage 70 - TP3,8PA3F_25YE15
